MediaHistogramaR,MediaHistogramaG,MediaHistogramaB,ValorMedioR,ValorMedioG,ValorMedioB,DesvioPadraoR,DesvioPadraoG,DesvioPadraoB,VarianciaR,VarianciaG,VarianciaB,Status
5.67717E+15,1.98741E+15,3.19819E+16,113923476005,138510246433,1279307393,21606613926,127134548619,119179465823,466845765349,161631934527,142037450739,0
4.54913E+15,1.57661E+16,2.6368E+16,109491353608,140618962433,130213476446,285310522925,11644086555,112428980936,814020944918,135584751699,126402757543,0
4.28201E+15,1.22376E+16,210854,123198602794,142254491018,133912175649,289305983175,104810500657,947640370318,836979519006,109852410479,898022271457,0
3.57685E+15,1.39785E+16,2.4257E+16,952492331288,12964493865,127693251534,279653323843,967246921213,986212604165,782059815363,935566606595,972615300613,1
3.08894E+15,122995,2.10792E+15,885802171291,134389626055,12597225573,247918698384,806786930226,764214866305,614636810086,650905150784,584024361882,0
5.14514E+15,1.43721E+16,2.44996E+16,143181055156,142815347722,129544364508,223373862783,549315540968,522787584506,498958825745,301747563549,273306858513,0
449046783625731,1.53025E+15,2.53235E+16,114646706587,143981491562,132107784431,289978479161,123682794709,118401716993,840875183764,152974337071,140189665868,0
3.36711E+16,1.11095E+15,1.8921E+16,112421832884,136347708895,132807277628,351734433006,100712476442,970902384744,123717111362,101430029111,942651440701,0
8.38163E+15,2.60013E+15,405047465437788,127332816187,134145544458,126227803096,278949607257,4241311544,418295164253,77812883389,179887236133,174970844438,0
3.37231E+15,1.35559E+16,2311575,908813747228,142572062084,127337028825,247305727265,708542741099,705403106909,611601227378,502032815965,497593543237,0
4.82071E+16,1.6638E+16,2.72202E+16,107636947218,149769971469,134826319544,314797016561,164260056971,158158794179,990971616358,26981366316,250142041762,0
409.0,1.14521E+15,19676625,131164196123,141799315849,132775370582,347848634127,108356295599,988787514082,120998672264,117410867959,977700748005,0
7.89975E+15,2.88733E+15,4.68181E+15,101616848963,144897480724,132615160481,280326873275,696010959793,679033603426,7858315588,484431256153,461086634582,1
4.39793E+15,189308,2.95881E+15,907491243433,134530647986,12612762697,260093547788,177556630664,176011550572,676486536011,315263570928,309800659348,1
5.56181E+15,2.16234E+16,3.35785E+15,98520699252,143441815968,130823273613,296009606297,311405773467,306282661801,876216870202,969735557488,938090689198,1
4.81333E+15,1.5133E+15,2.53393E+15,115754946728,150022323694,133915778792,279178565981,136433537584,1244493479,779406717032,186141101776,154876401928,0
4.91404E+15,1.72446E+15,2.75237E+16,107758059564,136844028247,132469143383,321025918728,15549677702,177325101125,103057640495,241792476635,314441914891,1
4.9165E+15,1.45516E+16,2542045,123774579033,120124932102,120357957632,364743587083,212095621492,181205107707,133037884318,449845526562,328352910592,0
8.88478E+15,1.5331E+16,2.64744E+16,243552147239,25036605317,249835719155,137683820422,466498048707,423916746917,18956834406,217620429448,179705408316,0
3.90613E+16,1.15544E+16,1.88556E+16,131002214839,139179401993,135111849391,438961070273,143443680128,148270958155,192686821215,205760893688,219842770321,0
3.34461E+15,1.09639E+15,1.85187E+16,127820282413,132066752246,133738125802,455193795507,129378457592,126449063961,207201391468,167387852888,159893657766,0
6.81382E+15,1.71502E+15,2.77418E+15,161091015169,139527421237,129022753792,194384977168,663197716523,624427828177,377855193485,439831211202,389910112602,0
7.69674E+15,2.52385E+15,3.89901E+15,113570144029,138374757141,11764237544,16468474065,566881448906,491006034728,271210638029,321354577114,24108692614,0
3.58029E+15,1544.2,2.32766E+15,958534759358,169357219251,133995721925,187135149824,688742832101,701650898159,350195642998,47436668877,492313982888,0
4.03555E+16,1.57655E+16,2.50373E+16,104732625483,157177606178,129790540541,202677287201,662120321742,69123769233,41078082747,438403320463,477809547297,0
5.78354E+15,1.20701E+16,2.29136E+16,141860687023,115930025445,119641857506,214992823488,124674468228,859764715359,462219141513,15543723028,739195365776,0
4626875,1.58778E+16,2.34396E+15,129388700565,15888700565,127015819209,197173326202,72868422555,698771621155,388773205656,530980700565,488281778531,1
587074074074074,1.68777E+16,2.65199E+15,136648377125,160289799073,141132921175,201033460423,758982427562,106617594118,404144522096,576054325348,113673113756,1
5.91673E+15,9.6523E+15,2.26423E+16,174478908189,180583126551,169640198511,200570879237,584066998987,836907197704,402286775979,341134259305,700413657568,0
3.72621E+16,1.56923E+16,2470375,894982363316,14891313933,126478835979,219766690556,125936805123,111369923414,48297398278,158600788845,124032598413,0
1.05784E+15,2.39593E+16,4.10312E+15,239793565684,253926273458,24754691689,796794929528,630788795098,15315631854,634882159722,397894504021,234568579088,0
8.43366E+15,1.46349E+16,3106.0,199597222222,131402777778,206935672515,27856344483,101178113713,113128437591,775975927956,102370106944,127980433918,1
5.29424E+15,1.48295E+15,2.40027E+16,142004660453,110183089214,122027296937,280371990792,113642450276,112545452188,786084532208,129146065047,126664788083,0
6.98356E+15,1.47894E+15,3.03844E+16,142916597164,151487489575,13398498749,124827373617,777033541546,561906984785,15581873204,603781124687,31573945955,1
6.61351E+15,1800.0,3.06895E+15,129589677419,144189354839,12302483871,13518017483,822355062433,770972818859,18273679667,67626784871,594399087419,0
7.27458E+15,2.32139E+16,3.37215E+15,128732352771,15011865192,121887775783,140038315582,226741259638,195391773355,19610729831,514115988222,381779450947,0
6.00882E+15,176078,2.94776E+15,129922036954,144919783686,131753041911,145265915575,629299389398,601255908052,211021862277,396017721496,361508666967,0
7.93649E+15,1.46375E+15,2.69543E+16,201917293233,111860484545,218702589808,284744211238,110447258948,994108707321,810792658338,121985970092,988252121972,1
6.25617E+15,1.35523E+16,2.51501E+16,164861074705,128564875491,161796854522,182880431298,606896645783,547217975263,334452521519,368323538663,299447512451,0
8.03871E+15,1.10494E+16,2596.6,238090909091,2330625,236566477273,22350608271,210820993381,108735928844,499549690083,4444549125,118235022216,0
693230303030303,1.43357E+16,2.74587E+15,175832678712,141967792616,191273369992,37366019999,131204941961,135418494573,139621945056,17214736795,183381686724,1
5.86083E+15,1.85608E+16,3.01158E+16,119257670892,136144058761,130888994195,173616779128,178959348025,143708976322,301427859947,320264482455,206522698756,0
96247,1.68065E+16,3.27482E+16,193344199831,836435224386,185518628281,161175976523,109357845896,105590893564,25977695408,119591384589,111494368036,0
4.73484E+16,159815625,2.43056E+15,117490296221,159807967314,127100102145,165842221009,526326797584,49128422526,275036422691,277019897855,24136018999,0
4.95543E+16,1.42827E+15,2.45899E+15,132613469985,109883601757,120005856515,245486625244,985651303798,9276151967,602636831737,971508492679,860469953148,0
9.96136E+15,2.75766E+15,4.61576E+15,130561304466,149156132387,129216486245,165755904689,483330765554,514211439585,274750199393,233608628931,2644134046,0
5.12762E+15,1.59019E+16,2.20683E+15,131222803347,16505334728,129150627615,188882848421,709122189251,728493177472,356767304275,502854279289,530702309623,0
5.00975E+15,1.62013E+16,2.48299E+16,129318448884,159188014101,128647473561,141271172244,389101423467,438536477466,199575441072,151399917744,192314242068,0
6.63382E+15,1.70116E+15,2.8647E+16,136674858223,157442816635,129944706994,164306168872,99258152351,882680310599,269965171294,985218080813,779124530718,0
1021.9,1.57541E+16,3.16634E+16,226411420205,851383601757,231019765739,200399451361,833928564043,785829794755,401599401058,695436849927,617528466325,0
6.84119E+15,1.73492E+16,2.63365E+15,143455504285,159106130521,137828279499,180415043094,111000802969,115593059204,325495877745,123211782597,133617553362,0
5.33409E+15,1.36907E+16,2.29381E+15,144360049322,112866831073,126349568434,266536646025,11680630272,114796376018,710417836742,136437123551,13178207947,0
5.08602E+15,1.73978E+16,2.78455E+16,116438220758,146778418451,134602965404,13658004109,438241251554,4244933796,186541076241,192055394563,180194629325,0
4.60222E+16,1.71312E+15,2.65776E+15,119977294229,147578051088,121449385052,169017824731,468189930248,476434194932,285670250768,219201810785,2269895421,0
8.69511E+15,1.61698E+16,3168.5,209824701195,146548093341,21247524189,289770581046,132202238488,130712209568,839669896396,174774318611,170856817302,1
445.0,1.47371E+16,2.21133E+16,124545205479,138149315068,127364383562,158168025889,403299795013,426906399545,250171244136,162650724658,182249073973,0
4.69348E+15,1.6524E+16,2.7579E+15,119505202312,178361849711,130297109827,10607894682,548860402143,301603452856,112527429583,30124774104,909646427746,0
7.83905E+15,2.89921E+15,4.11376E+15,122448984807,154556690055,132250588248,110274212472,478748085153,386868170764,121604019364,229199729038,14966698155,0
3.27074E+15,2.12706E+16,3.25541E+16,64341202923,144122259696,123751264755,129529326923,941900109901,782959047019,167778465332,887175817032,613024869309,0
