,SVM,DecTree,Percep,SGD,RandF,LogR,KNN,GauNB
0,0,0,1,0,0,0,0,0
1,0,0,1,1,0,0,0,0
2,0,0,1,0,0,0,0,0
3,0,1,1,1,0,0,0,0
4,0,0,1,0,0,0,0,0
5,0,0,1,0,0,0,0,0
6,1,0,1,1,0,0,0,0
7,0,0,1,1,0,0,0,0
8,1,0,1,0,0,1,1,1
9,0,0,1,1,0,0,0,0
10,1,0,1,0,0,0,0,0
11,1,0,1,0,0,1,0,0
12,1,1,1,0,0,1,1,1
13,1,1,1,1,0,0,1,0
14,0,1,1,1,0,0,1,1
15,1,0,1,1,0,0,0,0
16,1,1,1,1,0,0,1,0
17,1,0,1,0,0,1,0,1
18,0,0,1,0,1,1,0,0
19,0,0,1,1,0,1,0,1
20,0,0,1,1,0,1,0,1
21,0,0,1,1,0,0,0,0
22,0,0,1,0,0,0,0,1
23,0,0,1,0,0,0,0,0
24,0,0,1,1,0,0,0,0
25,0,0,1,0,0,0,1,0
26,0,1,1,1,0,0,0,0
27,0,1,1,0,0,0,1,0
28,0,0,1,1,0,0,1,0
29,0,0,1,0,0,0,0,0
30,0,0,0,0,0,0,0,0
31,0,1,1,1,1,1,1,0
32,0,0,1,0,0,0,0,0
33,0,1,1,1,0,0,1,0
34,0,0,1,0,0,0,0,0
35,0,0,1,1,0,0,0,1
36,0,0,1,1,0,0,0,0
37,0,1,1,1,1,1,0,0
38,0,0,1,1,0,0,0,0
39,1,0,1,1,1,1,1,0
40,1,1,1,1,1,1,1,1
41,1,0,1,0,0,0,1,0
42,1,0,1,0,1,0,0,0
43,0,0,1,0,0,0,0,0
44,0,0,1,0,0,0,0,0
45,0,0,1,1,0,1,0,1
46,0,0,1,0,0,0,0,0
47,0,0,1,0,0,0,0,0
48,0,0,1,1,0,0,0,0
49,0,0,1,1,1,1,0,0
50,0,0,1,1,0,0,0,0
51,0,0,1,1,0,0,0,0
52,0,0,1,1,0,0,0,0
53,0,0,1,1,0,0,0,0
54,0,1,1,0,1,1,0,1
55,0,0,1,1,0,0,0,0
56,0,0,1,0,0,0,1,0
57,1,0,1,0,0,0,0,1
58,0,0,1,1,0,0,1,0
59,1,1,1,1,0,0,0,0
60,0,0,1,1,0,0,0,0
61,0,0,1,1,0,0,0,0
62,0,0,1,1,0,0,0,0
63,0,0,1,1,0,0,0,0
64,1,0,1,0,0,0,0,0
65,1,0,1,1,0,0,0,0
66,0,0,1,0,0,0,0,0
67,1,1,1,0,1,1,1,1
68,0,0,1,0,0,0,0,0
69,0,1,1,1,0,1,1,0
70,1,0,1,0,0,0,0,0
71,1,1,1,1,0,1,1,1
72,1,0,1,1,0,0,0,0
73,0,0,1,1,0,0,0,0
74,1,1,1,1,0,1,1,0
75,0,1,1,1,1,1,1,1
76,0,0,1,1,0,0,0,0
77,0,1,1,0,1,1,0,1
78,1,1,1,1,1,1,1,1
79,0,0,1,1,0,0,0,0
80,0,1,1,1,1,1,1,0
81,0,1,1,1,0,0,0,0
82,0,0,1,1,0,0,0,0
83,0,1,1,1,1,1,1,1
84,0,1,1,1,1,1,1,1
85,0,0,1,1,0,0,0,0
86,1,1,1,1,1,1,1,0
87,0,1,1,0,1,1,1,0
88,1,1,1,0,1,1,1,1
89,1,0,1,0,0,0,0,0
90,1,1,1,1,1,1,0,1
91,0,0,0,1,0,0,0,0
92,0,0,1,1,0,0,0,0
93,0,1,1,0,1,1,1,1
94,0,1,1,1,1,1,1,1
95,0,0,0,0,0,0,0,0
96,1,0,1,1,0,1,0,1
97,0,0,1,0,0,0,0,0
98,1,0,1,1,0,0,0,1
99,0,0,1,1,0,0,0,0
100,1,1,1,1,0,1,1,1
101,0,1,1,0,1,1,1,0
102,0,1,1,1,1,1,1,1
103,0,1,0,1,1,1,1,1
104,1,1,1,0,1,1,1,1
105,0,1,1,0,0,0,1,0
106,0,0,1,1,0,0,0,0
107,0,0,0,0,0,0,0,0
108,0,1,1,0,1,1,1,1
109,1,1,1,1,1,1,1,1
110,0,1,1,0,1,1,0,1
111,0,0,1,1,0,0,0,0
112,0,1,1,1,1,1,0,0
113,0,1,1,1,1,1,1,0
114,0,0,1,1,0,1,0,0
115,0,1,1,1,1,1,1,0
116,0,1,1,1,1,1,1,0
117,0,1,1,0,1,1,1,0
118,1,1,1,1,1,1,1,1
119,0,1,1,0,0,0,1,0
120,0,1,1,1,1,1,0,1
121,0,1,1,0,1,1,1,0
122,1,1,1,1,1,1,1,1
123,0,1,1,0,1,1,0,1
124,0,1,1,1,1,1,1,0
125,0,1,0,0,1,1,1,0
126,0,1,1,1,1,1,0,0
127,0,0,0,1,0,1,0,0
128,0,0,1,1,0,1,0,0
129,1,1,1,1,1,1,1,1
130,1,0,1,1,1,1,0,0
131,1,0,1,1,1,1,1,1
132,0,1,1,1,1,1,0,0
133,0,1,1,1,1,1,1,1
134,0,1,1,1,1,1,1,1
135,1,0,1,1,0,1,0,0
136,1,1,1,1,1,1,1,1
